epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.6571,2.07594,3.55854,2.33395,0.75626,0.14286,0.09797,0.03457,2.1804,3.39067,2.43363,0.0670747,0.000332579,0.000332579
2,165.993,1.93869,3.07918,2.17179,0.20314,0.24603,0.10236,0.04244,2.00577,2.91123,2.22937,0.0340087,0.000599987,0.000599987
3,248.375,1.84648,2.71688,2.06718,0.21333,0.56247,0.27831,0.16268,1.78046,2.26544,1.98893,0.00087681,0.000801395,0.000801395
4,331.072,1.74443,2.3591,1.92089,0.19578,0.43968,0.23973,0.10727,1.94775,2.3283,2.12429,0.000703,0.000703,0.000703
5,413.651,1.69971,2.1716,1.89088,0.27549,0.55261,0.37108,0.17322,1.91231,1.92318,2.02099,0.000604,0.000604,0.000604
6,496.314,1.71778,2.04608,1.88903,0.36494,0.60469,0.45133,0.22543,1.87003,1.78001,1.96743,0.000505,0.000505,0.000505
7,579.249,1.67685,1.87621,1.84298,0.4283,0.70724,0.61217,0.33542,1.83191,1.64456,1.95462,0.000406,0.000406,0.000406
8,661.907,1.64459,1.73775,1.8456,0.42379,0.64191,0.60965,0.33298,1.80842,1.60444,1.9427,0.000307,0.000307,0.000307
9,745.136,1.6033,1.62756,1.7926,0.47204,0.68258,0.64984,0.35659,1.77774,1.57212,1.95281,0.000208,0.000208,0.000208
10,827.723,1.6203,1.57982,1.7887,0.5397,0.5807,0.64283,0.36659,1.79573,1.5011,1.94317,0.000109,0.000109,0.000109
