epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.355,1.71959,2.12597,1.89725,0.63706,0.73209,0.68988,0.35712,1.80373,1.49389,2.01779,0.000302314,0.000302314,0.000302314
2,427.564,1.64976,1.54665,1.72429,0.50355,0.70798,0.65993,0.29169,1.94451,1.74816,2.21747,0.000485462,0.000485462,0.000485462
3,691.728,1.63158,1.41852,1.70939,0.66017,0.64769,0.66009,0.32028,1.93284,1.34258,2.08296,0.000548622,0.000548622,0.000548622
4,939.905,1.58716,1.30025,1.67338,0.80147,0.69002,0.81787,0.415,1.79744,1.21528,1.99492,0.000369054,0.000369054,0.000369054
5,1151.64,1.50404,1.0552,1.59712,0.83747,0.71811,0.83948,0.44671,1.69056,1.06901,1.85215,0.000189072,0.000189072,0.000189072
