epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.4629,1.94118,3.47211,2.11459,0.77006,0.10714,0.16318,0.05381,1.95461,3.16234,2.2236,0.0670747,0.000332579,0.000332579
2,167.697,1.8504,3.03882,2.04369,0.24534,0.31406,0.1242,0.06228,2.04741,3.51529,2.41334,0.0339428,0.000534062,0.000534062
3,251.437,1.80386,2.9002,2.0009,0.14792,0.52292,0.18187,0.08037,1.86677,2.48194,2.09863,0.000678959,0.000603544,0.000603544
4,335.816,1.78193,2.64025,1.97595,0.14649,0.4035,0.18798,0.08425,1.87423,2.33161,2.21603,0.000406,0.000406,0.000406
5,419.631,1.7171,2.50506,1.9303,0.17003,0.46081,0.2489,0.11179,1.81164,2.21254,2.14411,0.000208,0.000208,0.000208
