epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8294,1.94579,3.29117,1.93393,0.26518,0.09286,0.11849,0.06182,2.02323,3.23633,2.17027,0.0700679,0.00332579,0.00332579
2,82.5461,1.8032,2.52969,1.80658,0.41595,0.51122,0.44292,0.19516,2.17732,2.52211,2.30368,0.0387494,0.00534062,0.00534062
3,123.009,1.73323,2.08594,1.74554,0.60973,0.47602,0.57244,0.28924,2.0636,1.97105,2.21214,0.00611086,0.00603544,0.00603544
4,163.543,1.67123,1.77049,1.66701,0.60907,0.58979,0.60691,0.31412,1.83119,1.36074,1.93738,0.00406,0.00406,0.00406
5,204.089,1.63968,1.58919,1.63157,0.65146,0.786,0.78006,0.40715,1.77489,1.17874,1.91915,0.00208,0.00208,0.00208
