epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9244,2.12303,3.50438,2.11987,0.14522,0.38878,0.15669,0.07759,2.04455,3.08415,2.08399,0.0700679,0.00332579,0.00332579
2,82.5159,1.79684,2.39891,1.85536,0.38832,0.50106,0.38769,0.18415,2.12197,2.36764,2.17552,0.0394086,0.00599987,0.00599987
3,123.057,1.726,1.85833,1.78731,0.5374,0.41075,0.46333,0.23818,2.26299,2.88835,2.2792,0.00808937,0.00801395,0.00801395
4,163.683,1.70316,1.57421,1.7145,0.41715,0.66838,0.55766,0.26983,1.87229,1.66382,1.9543,0.00703,0.00703,0.00703
5,204.184,1.6393,1.38591,1.67992,0.56799,0.7491,0.74457,0.37197,1.77311,1.3679,1.86026,0.00604,0.00604,0.00604
6,244.708,1.58626,1.22722,1.61956,0.58207,0.60352,0.64878,0.34072,1.85637,1.36165,1.95979,0.00505,0.00505,0.00505
7,285.406,1.53656,1.09231,1.57308,0.56483,0.74841,0.74276,0.37671,1.80161,1.28908,1.86729,0.00406,0.00406,0.00406
8,325.947,1.4951,0.98451,1.55098,0.68061,0.71676,0.7348,0.4066,1.81924,1.23937,1.88807,0.00307,0.00307,0.00307
9,366.508,1.44429,0.88269,1.49052,0.55167,0.83151,0.73875,0.39642,1.78622,1.20262,1.8412,0.00208,0.00208,0.00208
10,407.078,1.40632,0.82566,1.47946,0.646,0.72379,0.76702,0.42838,1.77666,1.12859,1.8278,0.00109,0.00109,0.00109
