epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6684,2.22964,3.86995,2.25545,0.53284,0.04365,0.06443,0.02966,2.11079,3.48449,2.21877,0.0670747,0.000332579,0.000332579
2,80.1369,1.92773,3.09085,1.96466,0.1593,0.34495,0.14751,0.05632,2.05016,2.86107,2.09689,0.0340087,0.000599987,0.000599987
3,119.639,1.82684,2.65578,1.87913,0.65613,0.24138,0.30872,0.13335,1.85959,2.52178,1.98154,0.00087681,0.000801395,0.000801395
4,159.125,1.7825,2.36867,1.81099,0.25428,0.5444,0.36138,0.1741,1.77714,2.05013,1.86604,0.000703,0.000703,0.000703
5,198.802,1.74712,2.16021,1.78359,0.41614,0.63982,0.46066,0.22198,1.87056,1.8042,1.95133,0.000604,0.000604,0.000604
6,238.348,1.71387,1.89332,1.73899,0.44865,0.5618,0.50254,0.24173,1.94169,1.7332,1.99875,0.000505,0.000505,0.000505
7,278.035,1.66948,1.70985,1.73066,0.6885,0.52906,0.65335,0.30045,1.91053,1.57901,1.97887,0.000406,0.000406,0.000406
8,317.562,1.63314,1.55131,1.71928,0.65028,0.62932,0.68799,0.32891,1.83419,1.41713,1.93112,0.000307,0.000307,0.000307
9,357.316,1.60535,1.48084,1.67966,0.67168,0.56171,0.75353,0.39143,1.87529,1.35469,1.95581,0.000208,0.000208,0.000208
10,397.191,1.61208,1.41243,1.68278,0.64672,0.64947,0.72748,0.36396,1.8001,1.28603,1.86811,0.000109,0.000109,0.000109
