epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.783,1.9378,3.36101,2.1425,0.14519,0.48047,0.16426,0.07809,2.09843,2.55473,2.46677,0.0700679,0.00332579,0.00332579
2,166.632,1.78075,2.57189,2.01322,0.36827,0.56587,0.50063,0.24214,1.99398,2.21079,2.34021,0.0387494,0.00534062,0.00534062
3,249.708,1.69442,2.04427,1.88014,0.56863,0.54079,0.64592,0.34284,1.71051,1.74801,2.05051,0.00611086,0.00603544,0.00603544
4,333.773,1.64046,1.68475,1.8247,0.54734,0.68081,0.68866,0.36798,1.80803,1.2613,2.09501,0.00406,0.00406,0.00406
5,417.365,1.60032,1.48468,1.78515,0.6659,0.75135,0.77733,0.39557,1.78393,1.2863,2.11703,0.00208,0.00208,0.00208
