epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7681,2.04432,3.69121,2.03066,0.02075,0.86689,0.06113,0.02168,2.14414,3.41261,2.28675,0.0670747,0.000332579,0.000332579
2,83.1968,1.88082,3.14046,1.88104,0.09658,0.21814,0.1731,0.06755,2.00967,2.69254,2.14497,0.0339428,0.000534062,0.000534062
3,123.652,1.80462,2.80588,1.78179,0.0831,0.33175,0.11511,0.03551,2.71503,3.46145,2.60855,0.000678959,0.000603544,0.000603544
4,164.069,1.78072,2.58896,1.74715,0.27404,0.54316,0.29868,0.13356,1.93489,2.16025,2.05602,0.000406,0.000406,0.000406
5,204.541,1.75708,2.47064,1.7266,0.29153,0.57721,0.36668,0.17461,1.87233,2.13242,1.97271,0.000208,0.000208,0.000208
